一个近40岁的人听到喊自己娃娃，心里感觉真的像小朋友一样，好开心😄谢谢济公爷爷 1⁠2⁠-⁠1⁠2⁠
每次看到爷爷心情就会突然变好，有没有一样的[黑脸] 1⁠2⁠-⁠1⁠2⁠
爷爷，我喜欢你，我爷爷奶奶，爸爸妈妈都喜欢你，你说怎么办？在不翻我就……我就要哭了[流泪][流泪][流泪] 1⁠2⁠-⁠1⁠2⁠
转发 • [鼓掌] 8⁠分⁠钟⁠前⁠
转发 • [鼓掌] 8⁠分⁠钟⁠前⁠
看着你好亲切啊，想起我外公，我最喜欢我外公，因为小时候是他带我的，初中的时候他去世了，之后的几年里每当受了委屈想起他对我的好都泪流满面，看着你感觉好温暖很开心。 2⁠3⁠分⁠钟⁠前⁠
济公爷爷[赞][流泪][流泪][流泪][流泪][流泪][流泪][流泪] 1⁠小⁠时⁠前⁠
济公爷爷，您好 1⁠小⁠时⁠前⁠
[赞][赞][赞] 2⁠小⁠时⁠前⁠
转发 • [比心] 4⁠小⁠时⁠前⁠
[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][微笑][微笑][微笑][微笑][赞][赞][赞][赞] 4⁠小⁠时⁠前⁠
[666] 5⁠小⁠时⁠前⁠
乐人之乐，人亦乐其乐也！ 5⁠小⁠时⁠前⁠
永远的爷爷 5⁠小⁠时⁠前⁠
太有道理啦 6⁠小⁠时⁠前⁠
[赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰] 7⁠小⁠时⁠前⁠
今天才把游爷爷济公活佛的电视全部看完了。爷爷太棒了，好有正能量 1⁠1⁠小⁠时⁠前⁠
还是听到了济公爷爷的声音没错啦 1⁠2⁠小⁠时⁠前⁠
一个近40岁的人听到喊自己娃娃，心里感觉真的像小朋友一样，好开心😄谢谢济公爷爷 1⁠2⁠-⁠1⁠2⁠
每次看到爷爷心情就会突然变好，有没有一样的[黑脸] 1⁠2⁠-⁠1⁠2⁠
爷爷，我喜欢你，我爷爷奶奶，爸爸妈妈都喜欢你，你说怎么办？在不翻我就……我就要哭了[流泪][流泪][流泪] 1⁠2⁠-⁠1⁠2⁠
转发 • [鼓掌] 1⁠7⁠分⁠钟⁠前⁠
转发 • [鼓掌] 1⁠7⁠分⁠钟⁠前⁠
看着你好亲切啊，想起我外公，我最喜欢我外公，因为小时候是他带我的，初中的时候他去世了，之后的几年里每当受了委屈想起他对我的好都泪流满面，看着你感觉好温暖很开心。 3⁠1⁠分⁠钟⁠前⁠
济公爷爷[赞][流泪][流泪][流泪][流泪][流泪][流泪][流泪] 1⁠小⁠时⁠前⁠
济公爷爷，您好 1⁠小⁠时⁠前⁠
[赞][赞][赞] 2⁠小⁠时⁠前⁠
转发 • [比心] 4⁠小⁠时⁠前⁠
[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][微笑][微笑][微笑][微笑][赞][赞][赞][赞] 4⁠小⁠时⁠前⁠
[666] 5⁠小⁠时⁠前⁠
乐人之乐，人亦乐其乐也！ 5⁠小⁠时⁠前⁠
永远的爷爷 5⁠小⁠时⁠前⁠
太有道理啦 6⁠小⁠时⁠前⁠
[赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰] 7⁠小⁠时⁠前⁠
今天才把游爷爷济公活佛的电视全部看完了。爷爷太棒了，好有正能量 1⁠1⁠小⁠时⁠前⁠
还是听到了济公爷爷的声音没错啦 1⁠2⁠小⁠时⁠前⁠
爷爷回复我一下 1⁠3⁠小⁠时⁠前⁠
济公爷爷[玫瑰] 昨⁠天⁠2⁠3⁠:⁠3⁠9⁠
济公爷爷说的对 昨⁠天⁠2⁠3⁠:⁠3⁠1⁠
谢谢 爷爷 感觉在说我[捂脸] 昨⁠天⁠2⁠3⁠:⁠1⁠7⁠
我们成长了，您老了 昨⁠天⁠2⁠2⁠:⁠5⁠3⁠
谢谢济公活佛说得真好！[玫瑰][玫瑰][玫瑰][666][666][咖啡][鼓掌][鼓掌][鼓掌][赞][赞][赞][比心][比心][比心][ok] 昨⁠天⁠2⁠2⁠:⁠4⁠8⁠
济公爷爷跟我的爷爷长的很像，我的爷爷也非常喜欢济公爷爷，看到了济公爷爷就像看到了我爷爷一般，好开心也好难过，好想念他。愿天下所有的爷爷幸福福安康 昨⁠天⁠2⁠2⁠:⁠3⁠2⁠
济公爷爷跟我的爷爷长的很像，我的爷爷也非常喜欢济公爷爷，看到了济公爷爷就像看到了我爷爷一般，好开心也好难过，好想念他。愿天下所有的爷爷幸福福安康 昨⁠天⁠2⁠2⁠:⁠3⁠2⁠
[666] 昨⁠天⁠2⁠2⁠:⁠1⁠5⁠
很喜欢爷爷演的济公，非常完美[鼓掌][鼓掌][鼓掌][玫瑰][玫瑰][玫瑰][666][666][666][呲牙] 昨⁠天⁠1⁠9⁠:⁠5⁠2⁠
爷爷我今天生日 可以祝我生日快乐吗？[呲牙] 昨⁠天⁠1⁠9⁠:⁠0⁠8⁠
不错济公爷爷 昨⁠天⁠1⁠8⁠:⁠5⁠8⁠
乐人之乐，人亦乐其乐也[赞] 昨⁠天⁠1⁠8⁠:⁠4⁠1⁠
！ 昨⁠天⁠1⁠8⁠:⁠3⁠7⁠
[捂脸][赞] 昨⁠天⁠1⁠7⁠:⁠2⁠6⁠
看到游老师好开心[赞][赞][赞][赞][赞] 昨⁠天⁠1⁠7⁠:⁠2⁠0⁠
爷爷我也姓游[呲牙] 昨⁠天⁠1⁠6⁠:⁠3⁠8⁠
爷爷，这就是我想找人诉苦的地方，因为我嘴巴真的太笨经常说错话，得罪人[泣不成声] 昨⁠天⁠1⁠6⁠:⁠3⁠6⁠
[赞][玫瑰] 昨⁠天⁠1⁠6⁠:⁠2⁠8⁠
真好，我现在还看你的济公，挺好看 昨⁠天⁠1⁠4⁠:⁠3⁠5⁠
济公爷爷你好 昨⁠天⁠1⁠4⁠:⁠2⁠2⁠
@顺应自然-阿弥陀佛-：济公爷爷，传授一下护牙秘诀[祈祷][比心][玫瑰] 昨⁠天⁠1⁠4⁠:⁠2⁠0⁠
点赞👍 昨⁠天⁠1⁠4⁠:⁠0⁠9⁠
[赞][赞][赞][赞][赞][666][666][666][666][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌] 昨⁠天⁠1⁠3⁠:⁠5⁠2⁠
[呲牙][呲牙][呲牙] 昨⁠天⁠1⁠3⁠:⁠3⁠3⁠
我想听您唱一下鞋儿破行吗(●°u°●)  」您永远都是娃娃，祝您身体健康长寿 昨⁠天⁠1⁠3⁠:⁠1⁠0⁠
济公爷爷，好喜欢你 昨⁠天⁠1⁠3⁠:⁠0⁠6⁠
好想在看济公续集 昨⁠天⁠1⁠3⁠:⁠0⁠1⁠
老顽童游老师[赞][赞][赞][赞][赞][666][666][666][666][666] 昨⁠天⁠1⁠2⁠:⁠4⁠6⁠
[赞][赞][赞][赞][赞][赞][赞][赞][祈祷][祈祷] 昨⁠天⁠1⁠1⁠:⁠1⁠9⁠
祝济公爷爷永远开心快乐！ 昨⁠天⁠0⁠9⁠:⁠2⁠4⁠
