带着墨镜好像20多岁小姑娘 2⁠0⁠1⁠8⁠-⁠1⁠0⁠-⁠2⁠6⁠
好棒啊！这就是努力的目标嘻嘻 2⁠0⁠1⁠8⁠-⁠1⁠0⁠-⁠2⁠8⁠
要是我妈妈也这样该多好 2⁠0⁠1⁠8⁠-⁠1⁠0⁠-⁠2⁠6⁠
好有范[赞][赞][赞][赞][赞]羡慕 4⁠小⁠时⁠前⁠
转发 • 喜欢这位阿姨，超有气质[赞] 昨⁠天⁠2⁠0⁠:⁠3⁠6⁠
哇，年轻肯定是美人1 昨⁠天⁠2⁠0⁠:⁠1⁠7⁠
这才是女人 昨⁠天⁠1⁠9⁠:⁠1⁠7⁠
我看到了3ce散粉，我也在用 2⁠天⁠前⁠
和北海爷爷很搭[呲牙][呲牙] 2⁠天⁠前⁠
我想要的生活是和我最爱的人每天睡到自然醒，只要是跟他在一起，生活中的事儿，那都不是事儿[呲牙] 3⁠天⁠前⁠
刚看到一档节目，里面的阿姨跟你好像，那档节目主要是跟儿媳妇致歉[捂脸] 3⁠天⁠前⁠
姑姑你生活在哪里？好羡慕这样的生活 3⁠天⁠前⁠
这么有范的美人儿我都不知道叫啥了[爱慕][爱慕] 3⁠天⁠前⁠
年轻时候是中国第一代美女[赞] 1⁠2⁠-⁠1⁠8⁠
有钱真好 1⁠2⁠-⁠1⁠7⁠
转发 • 这样的年龄还能有这样的气质，这样的身材，着实让人羡慕[舔屏] 1⁠2⁠-⁠1⁠7⁠
精致[赞] 1⁠2⁠-⁠1⁠7⁠
自然美，真的好漂亮啊[666][666][666][666][赞][赞][赞][赞] 1⁠2⁠-⁠1⁠7⁠
我喜欢的生活还差人民币就可以了[捂脸] 1⁠2⁠-⁠1⁠6⁠
好精致的阿姨[爱慕][爱慕] 1⁠2⁠-⁠1⁠5⁠
阿姨，可以知道您的年龄吗 1⁠2⁠-⁠1⁠5⁠
太漂亮了阿姨[玫瑰][玫瑰] 1⁠2⁠-⁠1⁠5⁠
好漂亮 1⁠2⁠-⁠1⁠5⁠
余生别无所求，但愿优雅到老 1⁠2⁠-⁠1⁠4⁠
不为别的，只为美好的心态，大赞。生活不易，能到老依然保持这样的心态，值得学习，佩服！像您学习！[抠鼻] 1⁠2⁠-⁠1⁠4⁠
有钱人的状态，没钱想优雅老去痴心妄想[捂脸] 1⁠2⁠-⁠1⁠4⁠
有钱的人 1⁠2⁠-⁠1⁠4⁠
带着墨镜好像20多岁小姑娘 1⁠2⁠-⁠1⁠4⁠
身材比我都好[泪奔] 1⁠2⁠-⁠1⁠4⁠
最主要的是要有钱有钱[捂脸][捂脸][捂脸] 1⁠2⁠-⁠1⁠4⁠
有钱什么事都好办 1⁠2⁠-⁠1⁠3⁠
有钱什么都好 1⁠2⁠-⁠1⁠3⁠
关键是我现在也没这么精致，不要说老了以后[流泪] 1⁠2⁠-⁠1⁠3⁠
我想问收入怎么保证！所以有钱人生活 1⁠2⁠-⁠1⁠3⁠
羡慕嫉妒这样的生活方式 1⁠2⁠-⁠1⁠3⁠
活出自己的真实模样 1⁠2⁠-⁠1⁠3⁠
精致的女人 1⁠2⁠-⁠1⁠3⁠
可以和那个大叔一起，你俩太像了 1⁠2⁠-⁠1⁠3⁠
不挣钱有人养真好 1⁠2⁠-⁠1⁠3⁠
不挣钱有人养真好 1⁠2⁠-⁠1⁠3⁠
这难道就是传说中的富婆吗[泣不成声] 1⁠2⁠-⁠1⁠3⁠
优雅的同时。要有钱，才行[捂脸] 1⁠2⁠-⁠1⁠3⁠
羡慕嫉妒恨 1⁠2⁠-⁠1⁠3⁠
首先你要有钱[捂脸] 1⁠2⁠-⁠1⁠3⁠
好有气质 1⁠2⁠-⁠1⁠3⁠
这就是我期待的自己的老年生活 1⁠2⁠-⁠1⁠3⁠
这样的样子跟生活，是不是每个女人都羡慕的 1⁠2⁠-⁠1⁠3⁠
希望以后我到了这个年纪也可以活的这么精致[微笑] 1⁠2⁠-⁠1⁠3⁠
紧致的女人 都美 1⁠2⁠-⁠1⁠3⁠
跟杨爷爷有一搭 1⁠2⁠-⁠1⁠3⁠
这样精致的生活是每个女人想要的，可现实太不现实了[灵光一闪][灵光一闪] 1⁠2⁠-⁠1⁠3⁠
有钱人的生活[捂脸][捂脸][捂脸] 1⁠2⁠-⁠1⁠3⁠
希望优雅的老去[呲牙] 1⁠2⁠-⁠1⁠3⁠
我老了估计就是做饭看娃，幺鸡关后门！[捂脸][捂脸][捂脸][捂脸] 1⁠2⁠-⁠1⁠3⁠
精致到老[鼓掌][玫瑰][玫瑰] 1⁠2⁠-⁠1⁠3⁠
多少人想要的生活，跟样子 1⁠2⁠-⁠1⁠3⁠
不是在看孙子的年纪嘛[呲牙][捂脸] 1⁠2⁠-⁠1⁠3⁠
优雅精致的活到老 1⁠2⁠-⁠1⁠3⁠
[玫瑰][玫瑰][玫瑰] 1⁠2⁠-⁠1⁠3⁠
一看就是有钱的户啊！像我这么穷哪里有时间打扮啊[捂脸] 1⁠2⁠-⁠1⁠3⁠
这样的生活都羡慕 1⁠2⁠-⁠1⁠3⁠
不打牌的嘛？[捂脸][捂脸] 1⁠2⁠-⁠1⁠3⁠
标准的范[玫瑰][玫瑰][玫瑰][赞][赞][赞] 1⁠2⁠-⁠1⁠3⁠
我不逛街，逛街瞎逛，又没有钱买，浪费我时间[笑哭] 1⁠2⁠-⁠1⁠3⁠
好有气质哦，我只想知道，你多少岁了，能告诉我一下吗？我感觉我都白活了[捂脸] 1⁠2⁠-⁠1⁠3⁠
好喜欢你[玫瑰][玫瑰] 1⁠2⁠-⁠1⁠2⁠
真羡慕有钱人的生活[捂脸][捂脸] 1⁠2⁠-⁠1⁠2⁠
身上好嫩 1⁠2⁠-⁠1⁠2⁠
想知道姑妈年轻时候干什么工作的 1⁠2⁠-⁠1⁠2⁠
阿姨年轻时也是一个美女 1⁠2⁠-⁠1⁠2⁠
阿姨和北海爷爷挺般配的[捂脸][捂脸][捂脸] 1⁠2⁠-⁠1⁠2⁠
我一辈子也活不到您这样的惬意[捂脸][捂脸] 1⁠2⁠-⁠1⁠2⁠
过的好精致 1⁠2⁠-⁠1⁠2⁠
好精致，好有气质的漂亮阿姨，希望老了能有阿姨的精致优雅，祝阿姨永远健康美丽[玫瑰][玫瑰][玫瑰][玫瑰] 1⁠2⁠-⁠1⁠2⁠
你多大了 1⁠2⁠-⁠1⁠2⁠
有钱！怎么潇洒怎么活，没钱啥都甭提 1⁠2⁠-⁠1⁠2⁠
生活太精致了 1⁠2⁠-⁠1⁠2⁠
和那个北海爷爷都是过精致的生活 1⁠2⁠-⁠1⁠2⁠
好喜欢的样子， 1⁠2⁠-⁠1⁠2⁠
这首先得有钱 1⁠2⁠-⁠1⁠2⁠
有钱人才能过这样的生活，穷人只能看看，不敢往心里去[捂脸][捂脸] 1⁠2⁠-⁠1⁠2⁠
有钱人才能过这样的生活，穷人只能看看，不敢往心里去[捂脸][捂脸] 1⁠2⁠-⁠1⁠2⁠
背影像小姐姐 1⁠2⁠-⁠1⁠2⁠
我的一天就是看娃看娃看娃[抠鼻] 1⁠2⁠-⁠1⁠2⁠
年轻的时候不知道有多漂亮[玫瑰][玫瑰][玫瑰][赞] 1⁠2⁠-⁠1⁠2⁠
这生活谁不想有，关键你得先有钱[捂脸][捂脸] 1⁠2⁠-⁠1⁠2⁠
背影杀手！看着好年轻。[赞][赞][赞] 1⁠2⁠-⁠1⁠2⁠
活得真精致 1⁠2⁠-⁠1⁠2⁠
活出了我想要的模样[送心][送心] 1⁠2⁠-⁠1⁠2⁠
活的真漂亮[赞] 1⁠2⁠-⁠1⁠2⁠
保养的真好 1⁠2⁠-⁠1⁠2⁠
好像还有一个活的很精致的大叔 1⁠2⁠-⁠1⁠2⁠
转发 • 好有气质的阿姨[比心][比心] 1⁠2⁠-⁠1⁠2⁠
有钱咋都行，没钱的我看看就行了 1⁠2⁠-⁠1⁠2⁠
我婆婆60多了跟同龄人比起来她像40多一点[灵光一闪] 1⁠2⁠-⁠1⁠2⁠
首先得有钱，有闲。或者找个有钱的老公[呲牙] 1⁠2⁠-⁠1⁠2⁠
感觉和北海爷爷俩个好搭，都好优雅 1⁠2⁠-⁠1⁠2⁠
哈哈哈，想到北海爷爷[笑] 1⁠2⁠-⁠1⁠2⁠
敬佩[赞] 1⁠2⁠-⁠1⁠2⁠
感觉和北海爷爷会很搭[呲牙] 1⁠2⁠-⁠1⁠2⁠
用钱支撑的生活，我的只能活在三点一线[捂脸] 1⁠2⁠-⁠1⁠2⁠
一个钱保养出来的人，跟一个怨气保养出来的人就是不一样 1⁠2⁠-⁠1⁠2⁠
太有气质了，优雅大气 1⁠2⁠-⁠1⁠2⁠
有钱培养出来的气质。少女心，[来看我][来看我][来看我] 1⁠2⁠-⁠1⁠2⁠
您活出了女人都羡慕的样子[比心] 1⁠2⁠-⁠1⁠2⁠
待我有一亿再来过这样的生活方式[捂脸][捂脸] 1⁠2⁠-⁠1⁠2⁠
这都是有钱人的生活与我们穷人合干 1⁠2⁠-⁠1⁠2⁠
可以和北海爷爷合拍吗[坏笑][坏笑][坏笑] 1⁠2⁠-⁠1⁠2⁠
只要有钱了，傻子都会享受 1⁠2⁠-⁠1⁠2⁠
优雅的老去也是享受生活 1⁠2⁠-⁠1⁠2⁠
都不用上班的，我有钱我也愿意这样[笑哭] 1⁠2⁠-⁠1⁠2⁠
闻到了钱的味道 1⁠2⁠-⁠1⁠2⁠
阿姨好精致[送心] 1⁠2⁠-⁠1⁠2⁠
精致 1⁠2⁠-⁠1⁠2⁠
有钱人的生活[捂脸] 1⁠2⁠-⁠1⁠2⁠
为钱而奔波，没那经济，哪有那生活[得意][得意][得意][得意] 1⁠2⁠-⁠1⁠2⁠
哈哈，人老心不老 1⁠2⁠-⁠1⁠2⁠
有钱人就是不一样 1⁠2⁠-⁠1⁠2⁠
这些我都能做到就是不知道钱从哪来[汗] 1⁠2⁠-⁠1⁠2⁠
得有钱[流泪] 1⁠2⁠-⁠1⁠2⁠
这应该是所有女人向往的生活 1⁠2⁠-⁠1⁠2⁠
啥也不说……有钱真好…… 1⁠2⁠-⁠1⁠2⁠
我一辈子都活不成你这个样子，每天为赚钱愁死了，却总是没钱，唉祝福阿姨，目前不会实现，万一哪天实现了呢，就奔着阿姨的生活方式去[赞] 1⁠2⁠-⁠1⁠2⁠
我一辈子都活不成你这个样子，每天为赚钱愁死了，却总是没钱，唉祝福阿姨，目前不会实现，万一哪天实现了呢，就奔着阿姨的生活方式去[赞] 1⁠2⁠-⁠1⁠2⁠
和北海爷爷组合吧，太般配了[玫瑰][玫瑰][玫瑰] 1⁠2⁠-⁠1⁠2⁠
只有羡慕的份[大笑]，做梦能享受这样[奸笑] 1⁠2⁠-⁠1⁠2⁠
阿姨，你和北海爷爷很合适 1⁠2⁠-⁠1⁠2⁠
生活好有仪式感哦。[心] 1⁠2⁠-⁠1⁠2⁠
和北海爷爷组合吧，姑妈 1⁠2⁠-⁠1⁠2⁠
我也想像主人公一样活的精致一点，可是首先我得先有钱啊[捂脸][捂脸]，到现在都睡不着，房贷 车贷 孩子的学费 课外培训费 我们全家的生活费压的透不过气来 1⁠2⁠-⁠1⁠1⁠
好漂亮，羡慕 1⁠2⁠-⁠1⁠1⁠
转发 • 好有规律的生活，真好[赞][赞][赞] 1⁠2⁠-⁠1⁠1⁠
和北海爷爷组合吧，太般配了 1⁠2⁠-⁠1⁠1⁠
活的很精致 1⁠2⁠-⁠1⁠1⁠
[鼓掌][赞][耶][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]等我老了有您一半的精致就知足了[捂脸] 1⁠2⁠-⁠1⁠1⁠
好美 1⁠2⁠-⁠1⁠1⁠
跟北海爷爷合好吧 1⁠2⁠-⁠1⁠1⁠
希望以后不要长胖 1⁠2⁠-⁠1⁠1⁠
[赞] 1⁠2⁠-⁠1⁠1⁠
活成这样，是我毕生得追求[流泪] 1⁠2⁠-⁠1⁠1⁠
转发 • [玫瑰] 1⁠2⁠-⁠1⁠1⁠
和北海爷爷👴好般配 1⁠2⁠-⁠1⁠1⁠
我们年轻人都没这么年轻 1⁠2⁠-⁠1⁠1⁠
跟那末大叔有的一拼，妳俩挺合适的[捂脸][捂脸][捂脸] 1⁠2⁠-⁠1⁠1⁠
钱养出来的 1⁠2⁠-⁠1⁠1⁠
这个阿姨和北海爷爷一样，活的精致，和年轻无关 1⁠2⁠-⁠1⁠1⁠
为什么我觉得姑妈和北海爷爷很配，都是用心生活的人，好精制！[捂脸][捂脸] 1⁠2⁠-⁠1⁠1⁠
很精致的生活，但愿人人都能过上自己想要的生活 1⁠2⁠-⁠1⁠1⁠
愿我们活到老美到老精致到老 1⁠2⁠-⁠1⁠1⁠
10点起床。11点早餐。1点出门，4点午餐，10点夜宵。1点入睡 1⁠2⁠-⁠1⁠1⁠
好有生活仪式啊！[心] 1⁠2⁠-⁠1⁠1⁠
逛街那么久还是空着手的[捂脸][捂脸][捂脸][捂脸] 1⁠2⁠-⁠1⁠0⁠
都是金钱的味道 1⁠2⁠-⁠1⁠0⁠
好精致的阿姨 1⁠2⁠-⁠1⁠0⁠
好爱你哦美丽的阿姨[可爱] 1⁠2⁠-⁠0⁠9⁠
活到老美到老[心] 1⁠2⁠-⁠0⁠9⁠
好美的姑妈 1⁠2⁠-⁠0⁠9⁠
太精致了，阿姨 1⁠2⁠-⁠0⁠9⁠
@北海爷爷 [玫瑰][耶] 好配哦 1⁠2⁠-⁠0⁠8⁠
姐，可以问下您年龄?好年轻 1⁠2⁠-⁠0⁠8⁠
精致女人 1⁠2⁠-⁠0⁠7⁠
首先你得有钱，再考虑下一步，没钱啥都干不了的 1⁠2⁠-⁠0⁠3⁠
现在努力奋斗吧争取以后能活成姑妈的样子[呲牙][呲牙]反正现在我面对老公，孩子都是气不打一处来！[流泪][流泪][流泪] 1⁠0⁠-⁠0⁠4⁠
一点都不老，像年轻人一样有活力 1⁠0⁠-⁠0⁠4⁠
和北海爷爷好配 1⁠0⁠-⁠0⁠2⁠
感觉和北海爷爷和般配奥[呲牙][呲牙] 1⁠0⁠-⁠0⁠2⁠
我也觉得和北海爷爷般配.感觉生活仪式感都一样 1⁠0⁠-⁠0⁠2⁠
我感觉她和北海爷爷很有CP感 0⁠9⁠-⁠1⁠5⁠
你和北海道爷爷能聊聊[捂脸] 0⁠9⁠-⁠1⁠4⁠
突然觉得她和那个爷爷好配[求抱抱] 0⁠9⁠-⁠1⁠4⁠
